抵抗,ていこう, Resistance
直径,ちょっけい, Diameter
銅線,どうせん, Copper line
材質,ざいしつ , Material
電圧,でんあつ, Voltage
回路,かいろ, Circuit
発熱量,はつねつりょう, Calorific value
電熱器,でんねつき, Electrothermic equipment
力率,りきりつ, Power factor
交流,こうりゅう, Exchange
電源,でんげん, Ectrical power
電線,でんせん, electric cable
場合,ばあい, Situation
管内,かんない, In a pipe
低圧,ていあつ, Low voltage
三相,さんそう, Three phases
継続,けいぞく, Continuation
電流,でんりゅう, Electric current
定格,ていかく, Rated value
組合せ,くみあわせ, Combination
設計,せっけい, Layout
屋内配線,おくないはいせん, Interior wiring
接地,せっち, Ground (electricity)
電気,でんき,  Electricity
漏電,ろうでん, Short circuit
変圧器,へんあつき, Transformer
機器,きき, Equipment
誘導電動機,ゆうどうでんどうき, Induction motor
周波数,しゅうはすう, Frequency
圧着,あっちゃく, Crimping
工具,こうぐ, Hand tool
電気工事,でんきこうじ, Electrical work
名称,めいしょう, name; title
写真,しゃしん, Photo
材料,ざいりょう,  Materials
絶縁,ぜつえん, Insulation (electrical)
外装,がいそう, Packaging
用途,ようと, Use; purpose
接近,せっきん, Getting closer
自動,じどう, Automatic
電灯,でんとう, Electric light
場所,ばしょ, Place; location
相互,そうご, Reciprocal
硬質,こうしつ, Hardness
金属,きんぞく, Metal
湿気,しっけ, Moisture
専用,せんよう, Dedicated use
電路,でんろ, Electrical circuit
不適切,ふてきせつ, Unsuitable
部分,ぶぶん, Portion
末端,まったん, Terminal
配線,はいせん, Wiring
放電灯,ほうでんとう , Arc lamp
屋内,おくない, Indoor
導通,どうつう, Conduction
照度,しょうど, Illuminance
検電器,けんでんき, Voltage detector
計器,けいき, Meter
大地,だいち, Ground; earth
数値,すうち, Numerical value
測定,そくてい, Measurement
回路計,かいろけい, Multimeter
家用,かよう, Domestic uses
電気工,でんきこう, Electrician
免状,めんじょう, Licence
住宅,じゅうたく, Residential building
電力,でんりょく, Electric power
構内,こうない, Premises; grounds
需要,じゅよう, Demand
最大値,さいだいち, Maximum
円形,えんけい, Round shape
遮断器,しゃだんき, Circuit breaker
洋室,ようしつ, Western
目的,もくてき, Purpose
記号,きごう, Symbol
表示,ひょうじ, Indication
断面積,だんめんせき, Cross
最小,さいしょう, Smallest
白熱電球,はくねつでんきゅう, Light bulb
最少,さいしょう, fewest
使用,しよう, Use
器具,きぐ, Utensil
接点,せってん, Tangent point
構成,こうせい, Composition
種類,しゅるい, Variety
